"艺人名=Olivier Deriviere", "专辑名=A Plague Tale: Requiem"
"艺人名=Orisonne Solum", "专辑名=Streetlamp After the Last Shift"
"艺人名=Dahlia Frost", "专辑名=Skyrail Aspirant"
"艺人名=Elowen Strath", "专辑名=Silence Answers the Empty Seat"
"艺人名=Hino Resk", "专辑名=Stairwell Promises"
"艺人名=Kenara Lith", "专辑名=Light Left on Anyway"
"艺人名=Orin Blackwell", "专辑名=Gaps In Our Music"
"艺人名=Yara Windell", "专辑名=Mark City Glow"
"艺人名=Velune Aster", "专辑名=Names We Never Spoke"
"艺人名=Kira Kong", "专辑名=Maple Mosaic of Vows"
"艺人名=Etro Mignar", "专辑名=Persistence of One Last Look"
"艺人名=Calix Drun", "专辑名=Settling Earth Cradle"
"艺人名=Brindle Kesar", "专辑名=Silk of Power"
"艺人名=Riven Cloudrest", "专辑名=The Palm's Familiar Back"
"艺人名=Zane Midtown", "专辑名=The Day Everything Tilted"
"艺人名=Zephyr Moonridge", "专辑名=Between Meridians"
"艺人名=Corin Ablet", "专辑名=Murmurs of a Tired City"
"艺人名=Lyrvane Omri", "专辑名=Drowsevale Descentline"
"艺人名=Pinar Toprak", "专辑名=Captain Marvel"
"艺人名=Alberto Bof", "专辑名=Unposted"
"艺人名=Adam Taylor", "专辑名=The Handmaid's Tale"
"艺人名=Tyler Bates", "专辑名=The Way"
