"艺人名=Sam Hulick", "专辑名=Mass Effect 3"
"艺人名=Nolan Driftwood", "专辑名=Promises Spoken Under Breath"
"艺人名=Calix Drun", "专辑名=Lanterns Between Constellations"
"艺人名=Naiyo Hesk", "专辑名=Lanternborne Ascent"
"艺人名=Elsin Farrowell", "专辑名=Cold Sea Holding Our Story"
"艺人名=Roven Li", "专辑名=What the Blade Remembers"
"艺人名=Kenara Lith", "专辑名=We Loved Like It Would Last"
"艺人名=Lyrvane Omri", "专辑名=Night Sky Is Confiding Alone"
"艺人名=Brindle Kesar", "专辑名=Silk of Power"
"艺人名=Velune Aster", "专辑名=Names We Never Spoke"
"艺人名=Orin Blackwell", "专辑名=Gaps In Our Music"
"艺人名=Yara Windell", "专辑名=Mark City Glow"
"艺人名=Corin Ablet", "专辑名=Murmurs of a Tired City"
"艺人名=Riven Cloudrest", "专辑名=The Palm's Familiar Back"
"艺人名=Zane Midtown", "专辑名=The Day Everything Tilted"
"艺人名=Etro Mignar", "专辑名=Persistence of One Last Look"
"艺人名=Zephyr Moonridge", "专辑名=Between Meridians"
"艺人名=Elowen Strath", "专辑名=Silence Answers the Empty Seat"
"艺人名=Trevor Rabin", "专辑名=Jacaranda"
"艺人名=Will Bates", "专辑名=Away"
"艺人名=Fredrika Stahl", "专辑名=Sweep Me Away"
"艺人名=George Kallis", "专辑名=Marked Men: Rule & Shaw"
