"艺人名=Christopher Bear", "专辑名=Roofman"
"艺人名=Hino Resk", "专辑名=Stairwell Promises"
"艺人名=Roven Li", "专辑名=Vows Etched in Moving Sand"
"艺人名=Elowen Strath", "专辑名=Silence Answers the Empty Seat"
"艺人名=Dahlia Frost", "专辑名=Skyrail Aspirant"
"艺人名=Zephyr Moonridge", "专辑名=Between Meridians"
"艺人名=Corin Ablet", "专辑名=Murmurs of a Tired City"
"艺人名=Orisonne Solum", "专辑名=Streetlamp After the Last Shift"
"艺人名=Velune Aster", "专辑名=Names We Never Spoke"
"艺人名=Brindle Kesar", "专辑名=Silk of Power"
"艺人名=Calix Drun", "专辑名=Settling Earth Cradle"
"艺人名=Elsin Farrowell", "专辑名=Rooms That Breathe in Silence"
"艺人名=Riven Cloudrest", "专辑名=The Palm's Familiar Back"
"艺人名=Kira Kong", "专辑名=Maple Mosaic of Vows"
"艺人名=Naiyo Hesk", "专辑名=Lanternborne Ascent"
"艺人名=Etro Mignar", "专辑名=Persistence of One Last Look"
"艺人名=Nolan Driftwood", "专辑名=Promises Spoken Under Breath"
"艺人名=Yara Windell", "专辑名=Mark City Glow"
"艺人名=Dan Levy", "专辑名=Pour la France"
"艺人名=George Kallis", "专辑名=Marked Men: Rule & Shaw"
"艺人名=The Loud House", "专辑名=No Time To Spy"
"艺人名=Tumble Leaf", "专辑名=The Music of Tumble Leaf, Vol. 1"
