"艺人名=Philippe Rombi", "专辑名=A Christmas Tale"
"艺人名=Roven Li", "专辑名=What the Blade Remembers"
"艺人名=Brindle Kesar", "专辑名=Fireside to Mountain Fire"
"艺人名=Elsin Farrowell", "专辑名=Cold Sea Holding Our Story"
"艺人名=Zane Midtown", "专辑名=The Day Everything Tilted"
"艺人名=Kenara Lith", "专辑名=Light Left on Anyway"
"艺人名=Lyrvane Omri", "专辑名=Night Sky Is Confiding Alone"
"艺人名=Naiyo Hesk", "专辑名=Oaths in Warm Emberlines"
"艺人名=Orin Blackwell", "专辑名=Gaps In Our Music"
"艺人名=Hino Resk", "专辑名=Stairwell Promises"
"艺人名=Orisonne Solum", "专辑名=Streetlamp After the Last Shift"
"艺人名=Yara Windell", "专辑名=Mark City Glow"
"艺人名=Calix Drun", "专辑名=Settling Earth Cradle"
"艺人名=Kira Kong", "专辑名=Maple Mosaic of Vows"
"艺人名=Velune Aster", "专辑名=Names We Never Spoke"
"艺人名=Riven Cloudrest", "专辑名=The Palm's Familiar Back"
"艺人名=Corin Ablet", "专辑名=Murmurs of a Tired City"
"艺人名=Elowen Strath", "专辑名=Silence Answers the Empty Seat"
"艺人名=Trevor Kowalski", "专辑名=Piano Themes"
"艺人名=Sam Hulick", "专辑名=Mass Effect 3"
"艺人名=L.F.A. Studio", "专辑名=Falcon Express"
"艺人名=Philip Sheppard", "专辑名=The Crown"
