"艺人名=Princess Power", "专辑名=Princess Power"
"艺人名=Naiyo Hesk", "专辑名=Lanternborne Ascent"
"艺人名=Kenara Lith", "专辑名=Light Left on Anyway"
"艺人名=Jace Bramble", "专辑名=Unbent Blueprint"
"艺人名=Yara Windell", "专辑名=Mark City Glow"
"艺人名=Zephyr Moonridge", "专辑名=Between Meridians"
"艺人名=Nolan Driftwood", "专辑名=Promises Spoken Under Breath"
"艺人名=Elowen Strath", "专辑名=Silence Answers the Empty Seat"
"艺人名=Zane Midtown", "专辑名=The Day Everything Tilted"
"艺人名=Orin Blackwell", "专辑名=Gaps In Our Music"
"艺人名=Elsin Farrowell", "专辑名=Rooms That Breathe in Silence"
"艺人名=Orisonne Solum", "专辑名=Streetlamp After the Last Shift"
"艺人名=Corin Ablet", "专辑名=Murmurs of a Tired City"
"艺人名=Calix Drun", "专辑名=Settling Earth Cradle"
"艺人名=Velune Aster", "专辑名=Names We Never Spoke"
"艺人名=George Kallis", "专辑名=Marked Men: Rule & Shaw"
"艺人名=Bruno Coulais", "专辑名=Les Choristes: Les 20 ans"
"艺人名=Philip Sheppard", "专辑名=The Crown"
"艺人名=Pinar Toprak", "专辑名=Captain Marvel"
