David Vanacore, Fast n' Loud
Danger Force, Fightin' Crimes, Spittin' Rhymes
Dan Romer, Maniac
Dan Levy, Pour la France
Drum & Lace, Red, White & Royal Blue
Dara Taylor, 37 Words
David Wingo, Take Shelter
Danny Elfman, Doctor Strange in the Multiverse of Madness
Dominic Lewis, Jolt
Euphoric Brothers, Garten of Banban 8: Anti Devil
Este Haim, Days Are Gone
Fredrika Stahl, Sweep Me Away
Fernando Velázquez, Crimson Peak
Gabriel Yared, Les 1001 nuits
Guillaume Roussel, The Spy
George Kallis, Marked Men: Rule & Shaw
Guy Farley, Cashback
Gustavo Santaolalla, The Last of Us: Season 1
Garry Schyman, Torn
George Fenton, My Name Is Joe
Giosuè Greco, Welcome to Wrexham
Graham Reynolds, Before Midnight
Raphaelle Thibaut, Disneynature: Sea Lions of the Galapagos
Rob Simonsen, Elio
Randy Newman, 12 Songs
Randy Edelman, My Cousin Vinny
Rolfe Kent, The Matador
Ron Goodwin, Ron Goodwin Conducts Film & TV Themes
Stephanie Economou, Ruby Gillman, Teenage Kraken
Sam Hulick, Mass Effect 3
Stephen Rennicks, Conversations with Friends
Stefan Gregory, The Rooster
Steve Everitt, Escalate
Tony Morales, Reacher
Trevor Kowalski, Piano Themes
Thomas Dybdahl, That Great October Sound
Tyler Bates, The Way
Theodore Shapiro, Marley & Me
Trevor Rabin, Jacaranda
Takaki Horigome, Home Ground
Tom Howe, Ted Lasso: Season 3
Tumble Leaf, The Music of Tumble Leaf, Vol. 1
Thomas Newman, Passengers
Thomas Cappeau, J'ai tué mon mari
Volker Bertelmann, The Amateur
VGM Squad, Side Order Squad
Will Bates, Away
Wendy Wang, American Born Chinese
Zachary Dawes, The Big Door Prize: Season 1
Alberto Bof, Unposted
Andrew Jimenez, Wind
Ariel Marx, A Friend of the Family
Alex Weston, Expats
Adam Taylor, The Handmaid's Tale
Aaron May & David Ridley, Boiling Point
Andrew Wyatt, Barbie
Adem Ilhan, Avenue 5
Bobby Krlic, BEEF
Bruno Coulais, Les Choristes: Les 20 ans
Christopher Bear, Roofman
Chris Westlake, Star Trek: Lower Decks, Vol. 1
Christophe Beck, R.I.P.D.
Cliff Martinez, The Knick
Cliff Eidelman, Star Trek VI: The Undiscovered Country
Carlos Rafael Rivera, Department Q
Clint Mansell, Requiem for a Dream
Cristobal Tapia de Veer, Utopia 2
L.F.A. Studio, Falcon Express
Lorne Balfe, Tetris
The Loud House, No Time To Spy
Lili Haydn, Light Blue Sun
Laura Karpman, What If...?: Season 3
Mychael Danna, Life of Pi
Michael Abels, Get Out
Mark Orton, Nebraska
Matt Koskenmaki, The Last of Us Part II
Marcelo Zarvos, The Affair
Mark Mothersbaugh, Thor: Ragnarok
Magnus Beite, The Innocents
Marco Beltrami, Logan
Mark Mancina, Moana
Nicholas Pike, The Hills Have Eyes
N'zeng, Black Panther: Wakanda Forever
Nathan Barr, True Blood
Nathan Halpern, The Rider
Nino Rota, The Godfather
Nainita Desai, For Sama
Nicholas Britell, Succession
Olivier Deriviere, A Plague Tale: Requiem
Pinar Toprak, Captain Marvel
Princess Power, Princess Power
Philip Sheppard, The Crown
Philippe Rombi, A Christmas Tale
