"艺人名=Princess Power", "专辑名=Princess Power"
"艺人名=Elsin Farrowell", "专辑名=Rooms That Breathe in Silence"
"艺人名=Roven Li", "专辑名=Vows Etched in Moving Sand"
"艺人名=Lyrvane Omri", "专辑名=Drowsevale Descentline"
"艺人名=Orisonne Solum", "专辑名=Streetlamp After the Last Shift"
"艺人名=Dahlia Frost", "专辑名=Skyrail Aspirant"
"艺人名=Corin Ablet", "专辑名=Murmurs of a Tired City"
"艺人名=Riven Cloudrest", "专辑名=The Palm's Familiar Back"
"艺人名=Kenara Lith", "专辑名=We Loved Like It Would Last"
"艺人名=Zane Midtown", "专辑名=The Day Everything Tilted"
"艺人名=Naiyo Hesk", "专辑名=Lanternborne Ascent"
"艺人名=Yara Windell", "专辑名=Mark City Glow"
"艺人名=Nolan Driftwood", "专辑名=Promises Spoken Under Breath"
"艺人名=Etro Mignar", "专辑名=Persistence of One Last Look"
"艺人名=Kira Kong", "专辑名=Maple Mosaic of Vows"
"艺人名=Orin Blackwell", "专辑名=Gaps In Our Music"
"艺人名=Velune Aster", "专辑名=Names We Never Spoke"
"艺人名=Calix Drun", "专辑名=Lanterns Between Constellations"
"艺人名=Cristobal Tapia de Veer", "专辑名=Utopia 2"
"艺人名=Thomas Dybdahl", "专辑名=That Great October Sound"
"艺人名=Ron Goodwin", "专辑名=Ron Goodwin Conducts Film & TV Themes"
"艺人名=Steve Everitt", "专辑名=Escalate"
