"艺人名=Wendy Wang", "专辑名=American Born Chinese"
"艺人名=Brindle Kesar", "专辑名=Silk of Power"
"艺人名=Calix Drun", "专辑名=Settling Earth Cradle"
"艺人名=Orin Blackwell", "专辑名=Gaps In Our Music"
"艺人名=Dahlia Frost", "专辑名=Skyrail Aspirant"
"艺人名=Lyrvane Omri", "专辑名=Drowsevale Descentline"
"艺人名=Hino Resk", "专辑名=Stairwell Promises"
"艺人名=Naiyo Hesk", "专辑名=Lanternborne Ascent"
"艺人名=Orisonne Solum", "专辑名=Streetlamp After the Last Shift"
"艺人名=Elsin Farrowell", "专辑名=Cold Sea Holding Our Story"
"艺人名=Kira Kong", "专辑名=Maple Mosaic of Vows"
"艺人名=Corin Ablet", "专辑名=Murmurs of a Tired City"
"艺人名=Riven Cloudrest", "专辑名=The Palm's Familiar Back"
"艺人名=Roven Li", "专辑名=Vows Etched in Moving Sand"
"艺人名=Zane Midtown", "专辑名=The Day Everything Tilted"
"艺人名=Yara Windell", "专辑名=Mark City Glow"
"艺人名=Velune Aster", "专辑名=Names We Never Spoke"
"艺人名=Nolan Driftwood", "专辑名=Promises Spoken Under Breath"
"艺人名=Ariel Marx", "专辑名=A Friend of the Family"
"艺人名=Rolfe Kent", "专辑名=The Matador"
"艺人名=Bobby Krlic", "专辑名=BEEF"
"艺人名=Andrew Wyatt", "专辑名=Barbie"
