"艺人名=Michael Abels", "专辑名=Get Out"
"艺人名=Velune Aster", "专辑名=Names We Never Spoke"
"艺人名=Brindle Kesar", "专辑名=Silk of Power"
"艺人名=Lyrvane Omri", "专辑名=Night Sky Is Confiding Alone"
"艺人名=Roven Li", "专辑名=What the Blade Remembers"
"艺人名=Elsin Farrowell", "专辑名=Cold Sea Holding Our Story"
"艺人名=Naiyo Hesk", "专辑名=Oaths in Warm Emberlines"
"艺人名=Dahlia Frost", "专辑名=Skyrail Aspirant"
"艺人名=Hino Resk", "专辑名=Stairwell Promises"
"艺人名=Nolan Driftwood", "专辑名=Promises Spoken Under Breath"
"艺人名=Orisonne Solum", "专辑名=Streetlamp After the Last Shift"
"艺人名=Calix Drun", "专辑名=Lanterns Between Constellations"
"艺人名=Etro Mignar", "专辑名=Persistence of One Last Look"
"艺人名=Corin Ablet", "专辑名=Murmurs of a Tired City"
"艺人名=Zane Midtown", "专辑名=The Day Everything Tilted"
"艺人名=Kenara Lith", "专辑名=We Loved Like It Would Last"
"艺人名=Yara Windell", "专辑名=Mark City Glow"
"艺人名=Orin Blackwell", "专辑名=Gaps In Our Music"
"艺人名=Will Bates", "专辑名=Away"
"艺人名=Volker Bertelmann", "专辑名=The Amateur"
"艺人名=Adem Ilhan", "专辑名=Avenue 5"
"艺人名=Nathan Halpern", "专辑名=The Rider"
