"艺人名=Mark Mothersbaugh", "专辑名=Thor: Ragnarok"
"艺人名=Kenara Lith", "专辑名=Light Left on Anyway"
"艺人名=Calix Drun", "专辑名=Settling Earth Cradle"
"艺人名=Lyrvane Omri", "专辑名=Drowsevale Descentline"
"艺人名=Kira Kong", "专辑名=Maple Mosaic of Vows"
"艺人名=Roven Li", "专辑名=What the Blade Remembers"
"艺人名=Zane Midtown", "专辑名=The Day Everything Tilted"
"艺人名=Naiyo Hesk", "专辑名=Lanternborne Ascent"
"艺人名=Dahlia Frost", "专辑名=Skyrail Aspirant"
"艺人名=Brindle Kesar", "专辑名=Silk of Power"
"艺人名=Elsin Farrowell", "专辑名=Rooms That Breathe in Silence"
"艺人名=Etro Mignar", "专辑名=Persistence of One Last Look"
"艺人名=Hino Resk", "专辑名=Stairwell Promises"
"艺人名=Velune Aster", "专辑名=Names We Never Spoke"
"艺人名=Riven Cloudrest", "专辑名=The Palm's Familiar Back"
"艺人名=Orin Blackwell", "专辑名=Gaps In Our Music"
"艺人名=Nolan Driftwood", "专辑名=Promises Spoken Under Breath"
"艺人名=Orisonne Solum", "专辑名=Streetlamp After the Last Shift"
"艺人名=Danger Force", "专辑名=Fightin' Crimes, Spittin' Rhymes"
"艺人名=David Wingo", "专辑名=Take Shelter"
"艺人名=Trevor Rabin", "专辑名=Jacaranda"
"艺人名=Este Haim", "专辑名=Days Are Gone"
