"艺人名=Randy Edelman", "专辑名=My Cousin Vinny"
"艺人名=Brindle Kesar", "专辑名=Fireside to Mountain Fire"
"艺人名=Roven Li", "专辑名=Vows Etched in Moving Sand"
"艺人名=Etro Mignar", "专辑名=Persistence of One Last Look"
"艺人名=Elsin Farrowell", "专辑名=Cold Sea Holding Our Story"
"艺人名=Lyrvane Omri", "专辑名=Night Sky Is Confiding Alone"
"艺人名=Naiyo Hesk", "专辑名=Lanternborne Ascent"
"艺人名=Hino Resk", "专辑名=Stairwell Promises"
"艺人名=Orin Blackwell", "专辑名=Gaps In Our Music"
"艺人名=Orisonne Solum", "专辑名=Streetlamp After the Last Shift"
"艺人名=Corin Ablet", "专辑名=Murmurs of a Tired City"
"艺人名=Calix Drun", "专辑名=Lanterns Between Constellations"
"艺人名=Zane Midtown", "专辑名=The Day Everything Tilted"
"艺人名=Kira Kong", "专辑名=Maple Mosaic of Vows"
"艺人名=Riven Cloudrest", "专辑名=The Palm's Familiar Back"
"艺人名=Yara Windell", "专辑名=Mark City Glow"
"艺人名=Kenara Lith", "专辑名=We Loved Like It Would Last"
"艺人名=Nolan Driftwood", "专辑名=Promises Spoken Under Breath"
"艺人名=Nicholas Pike", "专辑名=The Hills Have Eyes"
"艺人名=Fernando Velázquez", "专辑名=Crimson Peak"
"艺人名=Christopher Bear", "专辑名=Roofman"
"艺人名=Marco Beltrami", "专辑名=Logan"
