"艺人名=Takaki Horigome", "专辑名=Home Ground"
"艺人名=Kenara Lith", "专辑名=Light Left on Anyway"
"艺人名=Dahlia Frost", "专辑名=Skyrail Aspirant"
"艺人名=Velune Aster", "专辑名=Names We Never Spoke"
"艺人名=Naiyo Hesk", "专辑名=Oaths in Warm Emberlines"
"艺人名=Brindle Kesar", "专辑名=Fireside to Mountain Fire"
"艺人名=Lyrvane Omri", "专辑名=Night Sky Is Confiding Alone"
"艺人名=Elsin Farrowell", "专辑名=Cold Sea Holding Our Story"
"艺人名=Roven Li", "专辑名=Vows Etched in Moving Sand"
"艺人名=Zane Midtown", "专辑名=The Day Everything Tilted"
"艺人名=Orisonne Solum", "专辑名=Streetlamp After the Last Shift"
"艺人名=Calix Drun", "专辑名=Lanterns Between Constellations"
"艺人名=Yara Windell", "专辑名=Mark City Glow"
"艺人名=Orin Blackwell", "专辑名=Gaps In Our Music"
"艺人名=Nolan Driftwood", "专辑名=Promises Spoken Under Breath"
"艺人名=Corin Ablet", "专辑名=Murmurs of a Tired City"
"艺人名=Hino Resk", "专辑名=Stairwell Promises"
"艺人名=Etro Mignar", "专辑名=Persistence of One Last Look"
"艺人名=Lorne Balfe", "专辑名=Tetris"
"艺人名=Mark Orton", "专辑名=Nebraska"
"艺人名=Alberto Bof", "专辑名=Unposted"
"艺人名=N'zeng", "专辑名=Black Panther: Wakanda Forever"
