"艺人名=Nainita Desai", "专辑名=For Sama"
"艺人名=Kenara Lith", "专辑名=Light Left on Anyway"
"艺人名=Yara Windell", "专辑名=Mark City Glow"
"艺人名=Naiyo Hesk", "专辑名=Oaths in Warm Emberlines"
"艺人名=Lyrvane Omri", "专辑名=Drowsevale Descentline"
"艺人名=Brindle Kesar", "专辑名=Fireside to Mountain Fire"
"艺人名=Orisonne Solum", "专辑名=Streetlamp After the Last Shift"
"艺人名=Velune Aster", "专辑名=Names We Never Spoke"
"艺人名=Roven Li", "专辑名=Vows Etched in Moving Sand"
"艺人名=Kira Kong", "专辑名=Maple Mosaic of Vows"
"艺人名=Nolan Driftwood", "专辑名=Promises Spoken Under Breath"
"艺人名=Riven Cloudrest", "专辑名=The Palm's Familiar Back"
"艺人名=Elsin Farrowell", "专辑名=Cold Sea Holding Our Story"
"艺人名=Orin Blackwell", "专辑名=Gaps In Our Music"
"艺人名=Corin Ablet", "专辑名=Murmurs of a Tired City"
"艺人名=Hino Resk", "专辑名=Stairwell Promises"
"艺人名=Calix Drun", "专辑名=Lanterns Between Constellations"
"艺人名=Etro Mignar", "专辑名=Persistence of One Last Look"
"艺人名=David Vanacore", "专辑名=Fast n' Loud"
"艺人名=Sam Hulick", "专辑名=Mass Effect 3"
"艺人名=Stephanie Economou", "专辑名=Ruby Gillman, Teenage Kraken"
"艺人名=Tom Howe", "专辑名=Ted Lasso: Season 3"
