"艺人名=Mark Orton", "专辑名=Nebraska"
"艺人名=Sera Alune", "专辑名=Umbrella for Two Then One"
"艺人名=Elowen Strath", "专辑名=Silence Answers the Empty Seat"
"艺人名=Yara Windell", "专辑名=Mark City Glow"
"艺人名=Solvi Roon", "专辑名=Vows Beneath the Ember Sky"
"艺人名=Kira Kong", "专辑名=Maple Mosaic of Vows"
"艺人名=Pete Surarow", "专辑名=If We Don't Turn Back"
"艺人名=Jorson Wang", "专辑名=Harbor Wind on Old Vinyl"
"艺人名=Lyrvane Omri", "专辑名=Drowsevale Descentline"
"艺人名=Orisonne Solum", "专辑名=Streetlamp After the Last Shift"
"艺人名=Harlow Keen", "专辑名=Piano Fights for the Blue"
"艺人名=Elsin Farrowell", "专辑名=Rooms That Breathe in Silence"
"艺人名=Zane Midtown", "专辑名=The Day Everything Tilted"
"艺人名=Marven Yeo", "专辑名=Reborn Through Bruised Stillness"
"艺人名=Etro Mignar", "专辑名=Persistence of One Last Look"
"艺人名=Calix Drun", "专辑名=Lanterns Between Constellations"
"艺人名=Priam Zeng", "专辑名=Steel Footsteps over Winter Ridge"
"艺人名=Velune Aster", "专辑名=Names We Never Spoke"
"艺人名=Dan Romer", "专辑名=Maniac"
"艺人名=Tony Morales", "专辑名=Reacher"
"艺人名=Euphoric Brothers", "专辑名=Garten of Banban 8: Anti Devil"
"艺人名=Volker Bertelmann", "专辑名=The Amateur"
