"艺人名=Olivier Deriviere", "专辑名=A Plague Tale: Requiem"
"艺人名=Naiyo Hesk", "专辑名=Oaths in Warm Emberlines"
"艺人名=Marven Yeo", "专辑名=Reborn Through Bruised Stillness"
"艺人名=Yara Windell", "专辑名=Mark City Glow"
"艺人名=Kira Kong", "专辑名=Maple Mosaic of Vows"
"艺人名=Zane Midtown", "专辑名=The Day Everything Tilted"
"艺人名=Solvi Roon", "专辑名=Vows Beneath the Ember Sky"
"艺人名=Zimin Ower", "专辑名=Apricot Street Songs"
"艺人名=Elowen Strath", "专辑名=Silence Answers the Empty Seat"
"艺人名=Zephyr Moonridge", "专辑名=Between Meridians"
"艺人名=Sera Alune", "专辑名=Umbrella for Two Then One"
"艺人名=Jorson Wang", "专辑名=A Harbor Learned Our Names"
"艺人名=Priam Zeng", "专辑名=The Palace Arithmetic"
"艺人名=Brindle Kesar", "专辑名=Fireside to Mountain Fire"
"艺人名=Pete Surarow", "专辑名=If We Don't Turn Back"
"艺人名=Corin Ablet", "专辑名=Murmurs of a Tired City"
"艺人名=Harlow Keen", "专辑名=Steps Across the Hidden Field"
"艺人名=Finn Chord", "专辑名=The Stone That Remembers"
"艺人名=Chris Westlake", "专辑名=Star Trek: Lower Decks, Vol. 1"
"艺人名=Takaki Horigome", "专辑名=Home Ground"
"艺人名=Cliff Eidelman", "专辑名=Star Trek VI: The Undiscovered Country"
"艺人名=Alberto Bof", "专辑名=Unposted"
