"艺人名=Randy Newman", "专辑名=12 Songs"
"艺人名=Harlow Keen", "专辑名=Piano Fights for the Blue"
"艺人名=Orisonne Solum", "专辑名=Streetlamp After the Last Shift"
"艺人名=Velune Aster", "专辑名=Names We Never Spoke"
"艺人名=Dahlia Frost", "专辑名=Skyrail Aspirant"
"艺人名=Nolan Driftwood", "专辑名=Promises Spoken Under Breath"
"艺人名=Naiyo Hesk", "专辑名=Lanternborne Ascent"
"艺人名=Kenara Lith", "专辑名=We Loved Like It Would Last"
"艺人名=Torven Jiko", "专辑名=Markets and Petals"
"艺人名=Orin Blackwell", "专辑名=Gaps In Our Music"
"艺人名=Roven Li", "专辑名=What the Blade Remembers"
"艺人名=Etro Mignar", "专辑名=Persistence of One Last Look"
"艺人名=Brindle Kesar", "专辑名=Silk of Power"
"艺人名=Priam Zeng", "专辑名=Steel Footsteps over Winter Ridge"
"艺人名=Solvi Roon", "专辑名=Guarding a Fragile Year"
"艺人名=Lyrvane Omri", "专辑名=Drowsevale Descentline"
"艺人名=Calix Drun", "专辑名=Lanterns Between Constellations"
"艺人名=Hino Resk", "专辑名=Stairwell Promises"
"艺人名=Graham Reynolds", "专辑名=Before Midnight"
"艺人名=Stephen Rennicks", "专辑名=Conversations with Friends"
"艺人名=Stephanie Economou", "专辑名=Ruby Gillman, Teenage Kraken"
"艺人名=Laura Karpman", "专辑名=What If...?: Season 3"
