"艺人名=Tony Morales", "专辑名=Reacher"
"艺人名=Calix Drun", "专辑名=Settling Earth Cradle"
"艺人名=Naiyo Hesk", "专辑名=Oaths in Warm Emberlines"
"艺人名=Riven Cloudrest", "专辑名=The Palm's Familiar Back"
"艺人名=Finn Chord", "专辑名=The Stone That Remembers"
"艺人名=Priam Zeng", "专辑名=Steel Footsteps over Winter Ridge"
"艺人名=Jorson Wang", "专辑名=A Harbor Learned Our Names"
"艺人名=Elsin Farrowell", "专辑名=Rooms That Breathe in Silence"
"艺人名=Zimin Ower", "专辑名=Apricot Street Songs"
"艺人名=Lyrvane Omri", "专辑名=Drowsevale Descentline"
"艺人名=Brindle Kesar", "专辑名=Fireside to Mountain Fire"
"艺人名=Kira Kong", "专辑名=Maple Mosaic of Vows"
"艺人名=Solvi Roon", "专辑名=Vows Beneath the Ember Sky"
"艺人名=Kenara Lith", "专辑名=We Loved Like It Would Last"
"艺人名=Orisonne Solum", "专辑名=Streetlamp After the Last Shift"
"艺人名=Velune Aster", "专辑名=Names We Never Spoke"
"艺人名=Elowen Strath", "专辑名=Silence Answers the Empty Seat"
"艺人名=Nolan Driftwood", "专辑名=Promises Spoken Under Breath"
"艺人名=Gustavo Santaolalla", "专辑名=The Last of Us: Season 1"
"艺人名=VGM Squad", "专辑名=Side Order Squad"
"艺人名=Trevor Rabin", "专辑名=Jacaranda"
"艺人名=Rob Simonsen", "专辑名=Elio"
