"艺人名=Carlos Rafael Rivera", "专辑名=Department Q"
"艺人名=Finn Chord", "专辑名=Blood Blossoms Ascension of Thorns"
"艺人名=Roven Li", "专辑名=What the Blade Remembers"
"艺人名=Calix Drun", "专辑名=Settling Earth Cradle"
"艺人名=Lyrvane Omri", "专辑名=Night Sky Is Confiding Alone"
"艺人名=Elsin Farrowell", "专辑名=Cold Sea Holding Our Story"
"艺人名=Naiyo Hesk", "专辑名=Lanternborne Ascent"
"艺人名=Kenara Lith", "专辑名=We Loved Like It Would Last"
"艺人名=Harlow Keen", "专辑名=Piano Fights for the Blue"
"艺人名=Orin Blackwell", "专辑名=Gaps In Our Music"
"艺人名=Dahlia Frost", "专辑名=Skyrail Aspirant"
"艺人名=Sera Alune", "专辑名=Umbrella for Two Then One"
"艺人名=Jorson Wang", "专辑名=A Harbor Learned Our Names"
"艺人名=Torven Jiko", "专辑名=Markets and Petals"
"艺人名=Pete Surarow", "专辑名=If We Don't Turn Back"
"艺人名=Riven Cloudrest", "专辑名=The Palm's Familiar Back"
"艺人名=Zimin Ower", "专辑名=Apricot Street Songs"
"艺人名=Etro Mignar", "专辑名=Persistence of One Last Look"
"艺人名=Fernando Velázquez", "专辑名=Crimson Peak"
"艺人名=Magnus Beite", "专辑名=The Innocents"
"艺人名=Fredrika Stahl", "专辑名=Sweep Me Away"
"艺人名=Nainita Desai", "专辑名=For Sama"
