"艺人名=Gabriel Yared", "专辑名=Les 1001 nuits"
"艺人名=Solvi Roon", "专辑名=Steel in the Sun"
"艺人名=Brindle Kesar", "专辑名=Fireside to Mountain Fire"
"艺人名=Hino Resk", "专辑名=Stairwell Promises"
"艺人名=Naiyo Hesk", "专辑名=Lanternborne Ascent"
"艺人名=Orin Blackwell", "专辑名=Gaps In Our Music"
"艺人名=Corin Ablet", "专辑名=Murmurs of a Tired City"
"艺人名=Priam Zeng", "专辑名=The Palace Arithmetic"
"艺人名=Yara Windell", "专辑名=Mark City Glow"
"艺人名=Finn Chord", "专辑名=The Stone That Remembers"
"艺人名=Marven Yeo", "专辑名=Reborn Through Bruised Stillness"
"艺人名=Zane Midtown", "专辑名=The Day Everything Tilted"
"艺人名=Riven Cloudrest", "专辑名=The Palm's Familiar Back"
"艺人名=Roven Li", "专辑名=Vows Etched in Moving Sand"
"艺人名=Zimin Ower", "专辑名=Apricot Street Songs"
"艺人名=Zephyr Moonridge", "专辑名=Between Meridians"
"艺人名=Dahlia Frost", "专辑名=Skyrail Aspirant"
"艺人名=Pete Surarow", "专辑名=If We Don't Turn Back"
"艺人名=Bobby Krlic", "专辑名=BEEF"
"艺人名=Nathan Halpern", "专辑名=The Rider"
"艺人名=Thomas Newman", "专辑名=Passengers"
"艺人名=Nicholas Pike", "专辑名=The Hills Have Eyes"
