"艺人名=George Fenton", "专辑名=My Name Is Joe"
"艺人名=Jorson Wang", "专辑名=Harbor Wind on Old Vinyl"
"艺人名=Brindle Kesar", "专辑名=Silk of Power"
"艺人名=Lyrvane Omri", "专辑名=Night Sky Is Confiding Alone"
"艺人名=Elowen Strath", "专辑名=Silence Answers the Empty Seat"
"艺人名=Yara Windell", "专辑名=Mark City Glow"
"艺人名=Calix Drun", "专辑名=Settling Earth Cradle"
"艺人名=Elsin Farrowell", "专辑名=Rooms That Breathe in Silence"
"艺人名=Harlow Keen", "专辑名=Piano Fights for the Blue"
"艺人名=Corin Ablet", "专辑名=Murmurs of a Tired City"
"艺人名=Finn Chord", "专辑名=The Stone That Remembers"
"艺人名=Torven Jiko", "专辑名=Markets and Petals"
"艺人名=Etro Mignar", "专辑名=Persistence of One Last Look"
"艺人名=Sera Alune", "专辑名=Umbrella for Two Then One"
"艺人名=Naiyo Hesk", "专辑名=Oaths in Warm Emberlines"
"艺人名=Zimin Ower", "专辑名=Apricot Street Songs"
"艺人名=Priam Zeng", "专辑名=The Palace Arithmetic"
"艺人名=Orisonne Solum", "专辑名=Streetlamp After the Last Shift"
"艺人名=Mark Mothersbaugh", "专辑名=Thor: Ragnarok"
"艺人名=Euphoric Brothers", "专辑名=Garten of Banban 8: Anti Devil"
"艺人名=Cliff Martinez", "专辑名=The Knick"
"艺人名=Nicholas Britell", "专辑名=Succession"
