"艺人名=Dan Romer", "专辑名=Maniac"
"艺人名=Kenara Lith", "专辑名=Light Left on Anyway"
"艺人名=Marven Yeo", "专辑名=Reborn Through Bruised Stillness"
"艺人名=Brindle Kesar", "专辑名=Silk of Power"
"艺人名=Roven Li", "专辑名=What the Blade Remembers"
"艺人名=Pete Surarow", "专辑名=If We Don't Turn Back"
"艺人名=Calix Drun", "专辑名=Lanterns Between Constellations"
"艺人名=Elowen Strath", "专辑名=Silence Answers the Empty Seat"
"艺人名=Solvi Roon", "专辑名=Vows Beneath the Ember Sky"
"艺人名=Harlow Keen", "专辑名=Steps Across the Hidden Field"
"艺人名=Naiyo Hesk", "专辑名=Oaths in Warm Emberlines"
"艺人名=Zephyr Moonridge", "专辑名=Between Meridians"
"艺人名=Velune Aster", "专辑名=Names We Never Spoke"
"艺人名=Etro Mignar", "专辑名=Persistence of One Last Look"
"艺人名=Orin Blackwell", "专辑名=Gaps In Our Music"
"艺人名=Sera Alune", "专辑名=Umbrella for Two Then One"
"艺人名=Lyrvane Omri", "专辑名=Night Sky Is Confiding Alone"
"艺人名=Priam Zeng", "专辑名=The Palace Arithmetic"
"艺人名=David Vanacore", "专辑名=Fast n' Loud"
"艺人名=Dara Taylor", "专辑名=37 Words"
"艺人名=The Loud House", "专辑名=No Time To Spy"
"艺人名=Garry Schyman", "专辑名=Torn"
