"艺人名=Adam Taylor", "专辑名=The Handmaid's Tale"
"艺人名=Kenara Lith", "专辑名=Light Left on Anyway"
"艺人名=Lyrvane Omri", "专辑名=Drowsevale Descentline"
"艺人名=Jorson Wang", "专辑名=Harbor Wind on Old Vinyl"
"艺人名=Calix Drun", "专辑名=Settling Earth Cradle"
"艺人名=Finn Chord", "专辑名=Blood Blossoms Ascension of Thorns"
"艺人名=Hino Resk", "专辑名=Stairwell Promises"
"艺人名=Marven Yeo", "专辑名=Reborn Through Bruised Stillness"
"艺人名=Brindle Kesar", "专辑名=Fireside to Mountain Fire"
"艺人名=Orisonne Solum", "专辑名=Streetlamp After the Last Shift"
"艺人名=Torven Jiko", "专辑名=Markets and Petals"
"艺人名=Velune Aster", "专辑名=Names We Never Spoke"
"艺人名=Nolan Driftwood", "专辑名=Promises Spoken Under Breath"
"艺人名=Roven Li", "专辑名=What the Blade Remembers"
"艺人名=Solvi Roon", "专辑名=Vows Beneath the Ember Sky"
"艺人名=Elsin Farrowell", "专辑名=Rooms That Breathe in Silence"
"艺人名=Zimin Ower", "专辑名=Apricot Street Songs"
"艺人名=Yara Windell", "专辑名=Mark City Glow"
"艺人名=Chris Westlake", "专辑名=Star Trek: Lower Decks, Vol. 1"
"艺人名=Tom Howe", "专辑名=Ted Lasso: Season 3"
"艺人名=N'zeng", "专辑名=Black Panther: Wakanda Forever"
"艺人名=Theodore Shapiro", "专辑名=Marley & Me"
