"艺人名=Dominic Lewis", "专辑名=Jolt"
"艺人名=Roven Li", "专辑名=Vows Etched in Moving Sand"
"艺人名=Solvi Roon", "专辑名=Guarding a Fragile Year"
"艺人名=Harlow Keen", "专辑名=Piano Fights for the Blue"
"艺人名=Naiyo Hesk", "专辑名=Lanternborne Ascent"
"艺人名=Priam Zeng", "专辑名=Steel Footsteps over Winter Ridge"
"艺人名=Brindle Kesar", "专辑名=Silk of Power"
"艺人名=Finn Chord", "专辑名=The Stone That Remembers"
"艺人名=Zephyr Moonridge", "专辑名=Between Meridians"
"艺人名=Jorson Wang", "专辑名=Harbor Wind on Old Vinyl"
"艺人名=Velune Aster", "专辑名=Names We Never Spoke"
"艺人名=Sera Alune", "专辑名=Umbrella for Two Then One"
"艺人名=Kenara Lith", "专辑名=We Loved Like It Would Last"
"艺人名=Pete Surarow", "专辑名=If We Don't Turn Back"
"艺人名=Corin Ablet", "专辑名=Murmurs of a Tired City"
"艺人名=Orisonne Solum", "专辑名=Streetlamp After the Last Shift"
"艺人名=Riven Cloudrest", "专辑名=The Palm's Familiar Back"
"艺人名=Calix Drun", "专辑名=Settling Earth Cradle"
"艺人名=Gustavo Santaolalla", "专辑名=The Last of Us: Season 1"
"艺人名=Guillaume Roussel", "专辑名=The Spy"
"艺人名=Pinar Toprak", "专辑名=Captain Marvel"
"艺人名=Danny Elfman", "专辑名=Doctor Strange in the Multiverse of Madness"
