"艺人名=Cristobal Tapia de Veer", "专辑名=Utopia 2"
"艺人名=Elsin Farrowell", "专辑名=Cold Sea Holding Our Story"
"艺人名=Marven Yeo", "专辑名=Reborn Through Bruised Stillness"
"艺人名=Kenara Lith", "专辑名=Light Left on Anyway"
"艺人名=Jorson Wang", "专辑名=A Harbor Learned Our Names"
"艺人名=Nolan Driftwood", "专辑名=Promises Spoken Under Breath"
"艺人名=Hino Resk", "专辑名=Stairwell Promises"
"艺人名=Finn Chord", "专辑名=Blood Blossoms Ascension of Thorns"
"艺人名=Lyrvane Omri", "专辑名=Drowsevale Descentline"
"艺人名=Kira Kong", "专辑名=Maple Mosaic of Vows"
"艺人名=Dahlia Frost", "专辑名=Skyrail Aspirant"
"艺人名=Brindle Kesar", "专辑名=Silk of Power"
"艺人名=Etro Mignar", "专辑名=Persistence of One Last Look"
"艺人名=Solvi Roon", "专辑名=Vows Beneath the Ember Sky"
"艺人名=Torven Jiko", "专辑名=Markets and Petals"
"艺人名=Zimin Ower", "专辑名=Apricot Street Songs"
"艺人名=Sera Alune", "专辑名=Umbrella for Two Then One"
"艺人名=Roven Li", "专辑名=What the Blade Remembers"
"艺人名=Stephen Rennicks", "专辑名=Conversations with Friends"
"艺人名=Danny Elfman", "专辑名=Doctor Strange in the Multiverse of Madness"
"艺人名=Garry Schyman", "专辑名=Torn"
"艺人名=Ron Goodwin", "专辑名=Ron Goodwin Conducts Film & TV Themes"
