"艺人名=Wendy Wang", "专辑名=American Born Chinese"
"艺人名=Elsin Farrowell", "专辑名=Cold Sea Holding Our Story"
"艺人名=Solvi Roon", "专辑名=Steel in the Sun"
"艺人名=Harlow Keen", "专辑名=Piano Fights for the Blue"
"艺人名=Pete Surarow", "专辑名=If We Don't Turn Back"
"艺人名=Zane Midtown", "专辑名=The Day Everything Tilted"
"艺人名=Orin Blackwell", "专辑名=Gaps In Our Music"
"艺人名=Kenara Lith", "专辑名=Light Left on Anyway"
"艺人名=Naiyo Hesk", "专辑名=Lanternborne Ascent"
"艺人名=Etro Mignar", "专辑名=Persistence of One Last Look"
"艺人名=Corin Ablet", "专辑名=Murmurs of a Tired City"
"艺人名=Zimin Ower", "专辑名=Apricot Street Songs"
"艺人名=Orisonne Solum", "专辑名=Streetlamp After the Last Shift"
"艺人名=Yara Windell", "专辑名=Mark City Glow"
"艺人名=Lyrvane Omri", "专辑名=Night Sky Is Confiding Alone"
"艺人名=Zephyr Moonridge", "专辑名=Between Meridians"
"艺人名=Riven Cloudrest", "专辑名=The Palm's Familiar Back"
"艺人名=Jorson Wang", "专辑名=Harbor Wind on Old Vinyl"
"艺人名=Nathan Barr", "专辑名=True Blood"
"艺人名=Thomas Cappeau", "专辑名=J'ai tué mon mari"
"艺人名=Euphoric Brothers", "专辑名=Garten of Banban 8: Anti Devil"
"艺人名=Tyler Bates", "专辑名=The Way"
