"艺人名=Andrew Jimenez", "专辑名=Wind"
"艺人名=Roven Li", "专辑名=Vows Etched in Moving Sand"
"艺人名=Jorson Wang", "专辑名=A Harbor Learned Our Names"
"艺人名=Dahlia Frost", "专辑名=Skyrail Aspirant"
"艺人名=Marven Yeo", "专辑名=Reborn Through Bruised Stillness"
"艺人名=Orin Blackwell", "专辑名=Gaps In Our Music"
"艺人名=Solvi Roon", "专辑名=Guarding a Fragile Year"
"艺人名=Pete Surarow", "专辑名=If We Don't Turn Back"
"艺人名=Finn Chord", "专辑名=Blood Blossoms Ascension of Thorns"
"艺人名=Kenara Lith", "专辑名=We Loved Like It Would Last"
"艺人名=Etro Mignar", "专辑名=Persistence of One Last Look"
"艺人名=Lyrvane Omri", "专辑名=Night Sky Is Confiding Alone"
"艺人名=Zane Midtown", "专辑名=The Day Everything Tilted"
"艺人名=Brindle Kesar", "专辑名=Silk of Power"
"艺人名=Harlow Keen", "专辑名=Steps Across the Hidden Field"
"艺人名=Sera Alune", "专辑名=Umbrella for Two Then One"
"艺人名=Yara Windell", "专辑名=Mark City Glow"
"艺人名=Orisonne Solum", "专辑名=Streetlamp After the Last Shift"
"艺人名=Andrew Wyatt", "专辑名=Barbie"
"艺人名=Theodore Shapiro", "专辑名=Marley & Me"
"艺人名=Dan Levy", "专辑名=Pour la France"
"艺人名=L.F.A. Studio", "专辑名=Falcon Express"
