"艺人名=Thomas Dybdahl", "专辑名=That Great October Sound"
"艺人名=Finn Chord", "专辑名=The Stone That Remembers"
"艺人名=Elsin Farrowell", "专辑名=Cold Sea Holding Our Story"
"艺人名=Brindle Kesar", "专辑名=Fireside to Mountain Fire"
"艺人名=Naiyo Hesk", "专辑名=Lanternborne Ascent"
"艺人名=Elowen Strath", "专辑名=Silence Answers the Empty Seat"
"艺人名=Torven Jiko", "专辑名=Markets and Petals"
"艺人名=Harlow Keen", "专辑名=Steps Across the Hidden Field"
"艺人名=Corin Ablet", "专辑名=Murmurs of a Tired City"
"艺人名=Kenara Lith", "专辑名=Light Left on Anyway"
"艺人名=Roven Li", "专辑名=What the Blade Remembers"
"艺人名=Nolan Driftwood", "专辑名=Promises Spoken Under Breath"
"艺人名=Calix Drun", "专辑名=Lanterns Between Constellations"
"艺人名=Hino Resk", "专辑名=Stairwell Promises"
"艺人名=Lyrvane Omri", "专辑名=Night Sky Is Confiding Alone"
"艺人名=Pete Surarow", "专辑名=If We Don't Turn Back"
"艺人名=Etro Mignar", "专辑名=Persistence of One Last Look"
"艺人名=Sera Alune", "专辑名=Umbrella for Two Then One"
"艺人名=VGM Squad", "专辑名=Side Order Squad"
"艺人名=Magnus Beite", "专辑名=The Innocents"
"艺人名=George Kallis", "专辑名=Marked Men: Rule & Shaw"
"艺人名=Matt Koskenmaki", "专辑名=The Last of Us Part II"
